 Name                      Version    License                                                                                                                              
 protobuf                  3.13.0     3-Clause BSD License                                                                                                                 
 atpublic                  3.0.1      Apache Software License                                                                                                              
 google-api-core           1.22.1     Apache Software License                                                                                                              
 google-api-python-client  1.10.0     Apache Software License                                                                                                              
 google-auth               1.20.1     Apache Software License                                                                                                              
 google-auth-httplib2      0.0.4      Apache Software License                                                                                                              
 googleapis-common-protos  1.52.0     Apache Software License                                                                                                              
 oauth2client              4.1.3      Apache Software License                                                                                                              
 requests                  2.24.0     Apache Software License                                                                                                              
 rsa                       4.6        Apache Software License                                                                                                              
 tornado                   6.0.4      Apache Software License                                                                                                              
 cryptography              3.0        Apache Software License; BSD License                                                                                                 
 packaging                 21.3       Apache Software License; BSD License                                                                                                 
 python-dateutil           2.8.2      Apache Software License; BSD License                                                                                                 
 uritemplate               3.0.1      Apache Software License; BSD License                                                                                                 
 world                     5.0.1      Apache-2.0                                                                                                                           
 affine                    2.3.1      BSD                                                                                                                                  
 cligj                     0.7.2      BSD                                                                                                                                  
 Click                     7.0        BSD License                                                                                                                          
 Django                    3.1        BSD License                                                                                                                          
 Flask                     1.1.2      BSD License                                                                                                                          
 Jinja2                    2.11.2     BSD License                                                                                                                          
 MarkupSafe                1.1.1      BSD License                                                                                                                          
 Shapely                   1.8.2      BSD License                                                                                                                          
 Werkzeug                  1.0.1      BSD License                                                                                                                          
 amqp                      5.1.1      BSD License                                                                                                                          
 asgiref                   3.2.10     BSD License                                                                                                                          
 billiard                  3.6.4.0    BSD License                                                                                                                          
 celery                    5.2.7      BSD License                                                                                                                          
 click-plugins             1.1.1      BSD License                                                                                                                          
 colorama                  0.4.5      BSD License                                                                                                                          
 contextily                1.2.0      BSD License                                                                                                                          
 cx-Oracle                 8.3.0      BSD License                                                                                                                          
 cycler                    0.11.0     BSD License                                                                                                                          
 decorator                 4.4.2      BSD License                                                                                                                          
 dj-database-url           0.5.0      BSD License                                                                                                                          
 idna                      2.10       BSD License                                                                                                                          
 itsdangerous              1.1.0      BSD License                                                                                                                          
 joblib                    1.1.0      BSD License                                                                                                                          
 kiwisolver                1.4.2      BSD License                                                                                                                          
 kombu                     5.2.4      BSD License                                                                                                                          
 mercantile                1.2.1      BSD License                                                                                                                          
 mpmath                    1.2.1      BSD License                                                                                                                          
 numpy                     1.22.3     BSD License                                                                                                                          
 pandas                    1.4.3      BSD License                                                                                                                          
 prompt-toolkit            3.0.30     BSD License                                                                                                                          
 pyasn1                    0.4.8      BSD License                                                                                                                          
 pyasn1-modules            0.2.8      BSD License                                                                                                                          
 pycparser                 2.20       BSD License                                                                                                                          
 rasterio                  1.2.10     BSD License                                                                                                                          
 scipy                     1.8.0      BSD License                                                                                                                          
 sqlparse                  0.3.1      BSD License                                                                                                                          
 sympy                     1.10.1     BSD License                                                                                                                          
 vine                      5.0.0      BSD License                                                                                                                          
 xyzservices               2022.4.0   BSD License                                                                                                                          
 tld                       0.12.6     GNU General Public License v2 (GPLv2); GNU Lesser General Public License v2 or later (LGPLv2+); Mozilla Public License 1.1 (MPL 1.1) 
 python-telegram-bot       12.8       GNU Lesser General Public License v3 (LGPLv3)                                                                                        
 chardet                   3.0.4      GNU Library or Lesser General Public License (LGPL)                                                                                  
 psycopg2                  2.9.3      GNU Library or Lesser General Public License (LGPL)                                                                                  
 psycopg2-binary           2.9.3      GNU Library or Lesser General Public License (LGPL)                                                                                  
