Label,Abbreviation,Name,Chinese,Opening Year,Closing Year,Address,Postcode,Lat,Long
BP1,CCK,Choa Chu Kang,蔡厝港,1999,,10 Choa Chu Kang Avenue 4,689810,1.385,103.7444444
BP10,FJR,Fajar,法嘉,1999,,40 Fajar Road,679004,1.384444444,103.7708333
BP11,SGR,Segar,实加,1999,,50 Bukit Panjang Ring Road,679940,1.387777778,103.7694444
BP12,JLP,Jelapang,泽拉邦,1999,,70 Bukit Panjang Ring Road,679941,1.386666667,103.7644444
BP13,SNJ,Senja,信佳,1999,,90 Bukit Panjang Ring Road,679942,1.382777778,103.7622222
BP14,TMJ,Ten Mile Junction,十里广场,1999,2019,1 Woodlands Road,677899,1.380277778,103.76
BP2,SHV,South View,南景,1999,,50 Choa Chu Kang Way,688265,1.380277778,103.7452778
BP3,KTH,Keat Hong,吉丰,1999,,30 Choa Chu Kang Way,688266,1.378611111,103.7488889
BP4,TKW,Teck Whye,德惠,1999,,10 Choa Chu Kang Way,688267,1.376666667,103.7536111
BP5,PNX,Phoenix,凤凰,1999,,40 Choa Chu Kang Road,689483,1.378611111,103.7580556
BP6,BKP,Bukit Panjang,武吉班让,1999,,950 Upper Bukit Timah Road,678213,1.378333333,103.7616667
BP7,PTR,Petir,柏提,1999,,31 Petir Road,678269,1.377777778,103.7666667
BP8,PND,Pending,秉定,1999,,9 Pending Road,678296,1.376111111,103.7711111
BP9,BKT,Bangkit,万吉,1999,,20 Bukit Panjang Ring Road,679939,1.38,103.7725
CC1,DBG,Dhoby Ghaut,多美歌,2010,,11 Orchard Road,238826,1.299166667,103.8458333
CC10,MPS,MacPherson,麦波申,2010,,171 Paya Lebar Road,409048,1.326666667,103.89
CC11,TSG,Tai Seng,大成,2010,,33 Upper Paya Lebar Road,534803,1.335833333,103.8880556
CC12,BLY,Bartley,巴特礼,2009,,90 Bartley Road,539788,1.342777778,103.8797222
CC13,SER,Serangoon,实龙岗,2009,,600 Upper Serangoon Road,534801,1.35,103.8730556
CC14,LRC,Lorong Chuan,罗弄泉,2009,,150 Serangoon Avenue 3,554533,1.351666667,103.8641667
CC15,BSH,Bishan,碧山,2009,,200 Bishan Road,579827,1.351111111,103.8483333
CC16,MRM,Marymount,玛丽蒙,2009,,60 Marymount Road,573993,1.349166667,103.8394444
CC17,CDT,Caldecott,加利谷,2011,,38 Toa Payoh Rise,298113,1.337777778,103.8394444
CC18,,Bukit Brown,武吉布朗,,,490 Jalan Mashhor,299176,1.333611111,103.83
CC19,BTN,Botanic Gardens,植物园,2011,,100 Cluny Park Road,257494,1.3225,103.8152778
CC2,BBS,Bras Basah,百胜,2010,,65 Bras Basah Road,189561,1.296944444,103.8505556
CC20,FRR,Farrer Road,花拉路,2011,,71 Farrer Road,261006,1.317222222,103.8075
CC21,HLV,Holland Village,荷兰村,2011,,200 Holland Avenue,278995,1.311944444,103.7961111
CC22,BNV,Buona Vista,波那维斯达,2011,,100 North Buona Vista Road,139345,1.307333333,103.7900278
CC23,ONH,one-north,纬壹,2011,,9 Ayer Rajah Avenue,138647,1.299444444,103.7869444
CC24,KRG,Kent Ridge,肯特岗,2011,,301 South Buona Vista Road,118177,1.293333333,103.7844444
CC25,HPV,Haw Par Villa,虎豹别墅,2011,,270 Pasir Panjang Road,117396,1.2825,103.7819444
CC26,PPJ,Pasir Panjang,巴西班让,2011,,119 Pasir Panjang Road,117424,1.276111111,103.7913889
CC27,LBD,Labrador Park,拉柏多公园,2011,,701 Telok Blangah Road,109029,1.272222222,103.8027778
