Name,Latitude,Longitude,Level,Funding,Type,Notes,Opening Year,School Code,Exp,NA,NT,IP,Affiliated Schools COP
Admiralty Primary School,1.44263479,103.8000401,Primary,Government,Mixed,,,1744,,,,,
Admiralty Secondary School,1.445890689,103.8023982,Secondary,Government,Mixed,,,3072,203,168,132,,
Ahmad Ibrahim Primary School,1.433152715,103.8329424,Primary,Government,Mixed,,,1738,,,,,
Ahmad Ibrahim Secondary School,1.436059754,103.8297187,Secondary,Government,Mixed,,1962,3201,224,177,131,,
Ai Tong School,1.360583434,103.8330203,Primary,"Government-aided, SAP",Mixed,Affiliated to Singapore Hokkien Huay Kuan[4],,5625,,,,,
Alexandra Primary School,1.291334392,103.8244247,Primary,Government,Mixed,,,1266,,,,,
Anchor Green Primary School,1.390369987,103.8871654,Primary,Government,Mixed,,,1254,,,,,
Anderson Primary School,1.384264294,103.8413921,Primary,Government,Mixed,,,1766,,,,,
Anderson Secondary School,1.374340017,103.8515541,Secondary,GovernmentAutonomous,Mixed,,1960,3001,245,188,140,,
Ang Mo Kio Primary School,1.369321766,103.8396309,Primary,Government,Mixed,,,1150,,,,,
Ang Mo Kio Secondary School,1.367337102,103.842155,Secondary,Government,Mixed,,1979,3026,229,170,130,,
Anglican High School,1.331181079,103.9418535,Secondary,Government-aidedAutonomousSAP,Mixed,,1956,7101,241,,,,
Anglo-Chinese School,1.318370545,103.8356097,Primary,Government-aided,Boys,,,,,,,,
Anglo-Chinese School (Barker Road),1.319616492,103.8357727,Secondary,Government-aided,Boys,Affiliated to: Methodist Girls' School,1886,7032,246,188,129,,Anglo-Chinese School: 198
Anglo-Chinese School (Independent),1.303704093,103.7803634,Secondary,IndependentIP,Boys,Offers the International Baccalaureate certificate Affiliated to: Methodist Girls' School (IP),1886,IP:9161Express:7001,252,,,256,Anglo-Chinese School/Anglo-Chinese School (Junior): 235
Anglo-Chinese School (Junior),1.309351226,103.8409551,Primary,Government-aided,Boys,,,5001,,,,,
Angsana Primary School,1.348552876,103.9518081,Primary,Government,Mixed,,,1268,,,,,
Assumption English School,1.368381607,103.7666875,Secondary,Government-aided,Mixed,Affiliated to: Catholic Junior College (Non-IP)[5],1953,7002,188,152,105,,
Balestier Hill Primary School,1.3256,103.8422,Primary,Government,Mixed,Merged with Bendemeer Primary School in 2019[5],,1234,,,,,
Bartley Secondary School,1.339954156,103.8828062,Secondary,Government,Mixed,,1952,3002,188,155,100,,
Beacon Primary School,1.383949362,103.773632,Primary,Government,Mixed,,,1249,,,,,
Beatty Secondary School,1.341770656,103.8522856,Secondary,Government,Mixed,,1953,3003,217,152,124,,
Bedok Green Primary School,1.323445933,103.937879,Primary,Government,Mixed,,,1230,,,,,
Bedok Green Secondary School,1.334519473,103.9350284,Secondary,Government,Mixed,,2001,3069,201,159,132,,
Bedok South Secondary School,1.325136552,103.9509891,Secondary,Government,Mixed,,1980,3027,213,159,96,,
Bedok View Secondary School,1.324157041,103.9437762,Secondary,Government,Mixed,,1977,3225,218,164,,,
Bendemeer Primary School,1.321812508,103.8654042,Primary,Government,Mixed,Merged with Balestier Hill Primary School in 2019[5],,1129,,,,,
Bendemeer Secondary School,1.324611113,103.8609703,Secondary,Government,Mixed,,1977,3021,188,152,136,,
Blangah Rise Primary School,1.276120479,103.8086285,Primary,Government,Mixed,,,1145,,,,,
Boon Lay Garden Primary School,1.343178538,103.7132809,Primary,Government,Mixed,,,,,,,,
Boon Lay Secondary School,1.342722163,103.7018915,Secondary,Government,Mixed,,1977,3224,188,152,106,,
Bowen Secondary School,1.370359944,103.8776596,Secondary,Government,Mixed,,1982,3043,226,175,139,,
Broadrick Secondary School,1.307050611,103.8869179,Secondary,Government,Mixed,,,3202,188,152,91,,
Bukit Batok Secondary School,1.348490856,103.7408737,Secondary,Government,Mixed,,,3044,229,177,135,,
Bukit Merah Secondary School,1.285692831,103.8134389,Secondary,Government,Mixed,,1968,3203,188,152,117,,
Bukit Panjang Government High School,1.382242434,103.7383612,Secondary,GovernmentAutonomous,Mixed,,1960,3204,244,187,145,,
Bukit Panjang Primary School,1.373621793,103.7693749,Primary,Government,Mixed,,,1020,,,,,
Bukit Timah Primary School,1.3375186,103.7672433,Primary,Government,Mixed,,,1247,,,,,
Bukit View Primary School,1.345860548,103.7536664,Primary,Government,Mixed,,,1209,,,,,
Bukit View Secondary School,1.345733055,103.7522266,Secondary,Government,Mixed,,1986,3040,213,152,,,
Canberra Primary School,1.451250244,103.8158589,Primary,Government,Mixed,,,1751,,,,,
Canberra Secondary School,1.453190863,103.8142036,Secondary,Government,Mixed,,2000,3621,191,165,108,,
Canossa Catholic Primary School,1.326644245,103.882228,Primary,Government-aided,Mixed,,,5003,,,,,
Cantonment Primary School,1.275472526,103.8399626,Primary,Government,Mixed,,,1256,,,,,
Casuarina Primary School,1.372460639,103.9570203,Primary,Government,Mixed,Merged with Loyang Primary School in 2019[5],,1771,,,,,
Catholic High School,1.354388784,103.8442107,Primary,"Government-aided, SAP",Boys,,,7102,,,,,
Catholic High School,1.354723075,103.8448747,Secondary,Government-aidedAutonomousSAPIP,Boys,"Affiliated to: Eunoia Junior College (IP) Singapore Chinese Girls' School (IP), CHIJ Saint Nicholas Girls' School (IP) Catholic Junior College (Non-IP)",1935,IP:9131Special:7102,249,,,252,Catholic High School: 240
