ServiceNo,Operator,Direction,StopSequence,BusStopCode,Distance,WD_FirstBus,WD_LastBus,SAT_FirstBus,SAT_LastBus,SUN_FirstBus,SUN_LastBus,RoadName,Description,Latitude,Longitude,Alt,In,Out
858,SMRT,1,83,46009,73.4,618,154,614,201,611,157,Woodlands Sq,W'Lands Temp Int,1.437627901,103.7865,20.58890996,1226282,943640
858,SMRT,1,82,46289,72.9,614,149,609,156,606,152,Woodlands Ave 7,Blk 891C CP,1.438722398,103.790912,24.39153339,16988,47242
858,SMRT,1,81,46399,72.5,612,148,608,155,605,151,Woodlands Ave 7,Aft 888 Plaza,1.438960352,103.7942371,19.66668975,30078,81069
858,SMRT,1,80,46409,72.2,611,146,606,153,603,149,Woodlands Ave 4,Blk 701A CP,1.440633231,103.795706,19.84862824,4543,6075
858,SMRT,1,79,46419,71.8,610,145,605,152,602,148,Woodlands Ave 4,Evergreen Pr Sch,1.44356111,103.794098,19.99113145,34894,19891
858,SMRT,1,78,46469,71.2,608,143,603,150,600,146,Woodlands Ave 9,Blk 759,1.446688659,103.7949185,17.48999711,13945,16632
858,SMRT,1,77,46479,70.8,607,142,602,149,559,145,Woodlands Ave 9,Blk 774,1.447968698,103.7984096,16.22983204,27144,27032
858,SMRT,1,76,46489,70.4,606,141,601,148,558,144,Woodlands Ave 9,Aft Gambas Ave,1.449520956,103.8016065,14.26161126,29663,27630
858,SMRT,1,75,46739,70,604,139,559,146,556,142,Gambas Ave,BLK 782,1.448473503,103.8040034,14.38696722,3039,11672
858,SMRT,1,74,46749,69.6,602,137,557,145,554,141,Gambas Ave,Opp Seagate,1.44598747,103.8071908,14.26212253,6312,17198
858,SMRT,1,73,47629,69.2,600,136,555,143,553,139,Woodlands Ave 7,Seagate,1.446678082,103.8098574,15.00943386,10307,23283
858,SMRT,1,72,58389,68.8,559,134,554,142,551,138,Sembawang Way,Opp Blk 469B,1.44773992,103.8135667,15.12160302,9313,18705
858,SMRT,1,71,58221,68.4,557,133,552,141,550,137,Sembawang Way,Blk 339 CP,1.448592648,103.8170658,15.43810122,4021,12082
858,SMRT,1,70,58211,68,556,132,551,140,549,136,Sembawang Way,Sembawang Stn,1.449262026,103.819794,16.88045628,62823,223297
858,SMRT,1,69,58151,67.6,554,131,549,138,548,134,Canberra Rd,Bef Sembawang Stn,1.448359043,103.8220134,19.11256349,14969,4119
858,SMRT,1,68,58101,67.4,553,130,549,138,547,134,Canberra Rd,Blk 311,1.446672778,103.8228228,19.27165086,12696,14439
858,SMRT,1,67,58021,67,551,129,547,136,546,132,Sembawang Rd,Opp The Nautical,1.44324137,103.8236786,17.22105589,7743,5560
858,SMRT,1,66,58011,66.8,551,129,547,136,546,132,Sembawang Rd,Opp Sembawang Shop Ctr,1.441356114,103.8241875,16.47248176,42073,39524
858,SMRT,1,65,57131,66.4,549,127,545,134,544,130,Sembawang Rd,Opp Jln Kemuning,1.438084138,103.8252975,18.17679059,6706,10343
858,SMRT,1,64,57121,65.9,547,125,543,132,542,128,Sembawang Rd,Opp Blk 115B,1.433450833,103.8263113,14.13666466,19826,13459
858,SMRT,1,63,57111,65.6,545,124,542,131,541,127,Sembawang Rd,Opp Blk 101,1.431236226,103.8265494,11.38773158,64635,35620
858,SMRT,1,62,59111,65.2,544,123,541,130,540,126,Yishun Ave 5,Blk 701,1.430163951,103.8288845,10.93258756,133558,136252
858,SMRT,1,61,59141,64.8,542,121,539,129,539,125,Yishun Ave 5,Blk 741,1.430343832,103.8327554,12.68919607,45319,15009
