Name,Location,Unit,Search,Address,Postal Code,Latitude,Longitude,Link
Bali Thai,Causeway Point,#05-05,"Bali Thai , Chope, Restaurant, Cuisine, Indonesian, Thai, Food, View Food, Recommend food, Yusheng, Tahu Telur, Seafood, Fried Fish, Tahu Goreng, Phad Thai",1 Woodlands Square #05-05 Singapore 738099,738099,1.436,103.786,https://www.halaltag.com/place/1
Bali Thai,IMM Shopping Mall,#01-21,"Bali Thai , Chope, Restaurant, Cuisine, Indonesian, Thai, Food, View Food, Recommend food, Yusheng, Tahu Telur, Seafood, Fried Fish, Tahu Goreng, Phad Thai",2 Jurong East Street 21 #01-21 Singapore 609601,609601,1.3349,103.7468,https://www.halaltag.com/place/1
Bali Thai,NEX Mall,#02-13,"Bali Thai , Chope, Restaurant, Cuisine, Indonesian, Thai, Food, View Food, Recommend food, Yusheng, Tahu Telur, Seafood, Fried Fish, Tahu Goreng, Phad Thai",23 Serangoon Central #02-13  Singapore 556083,556083,1.3507,103.8719,https://www.halaltag.com/place/1
Bali Thai,Ngee Ann City,#05-29,"Bali Thai , Chope, Restaurant, Cuisine, Indonesian, Thai, Food, View Food, Recommend food, Yusheng, Tahu Telur, Seafood, Fried Fish, Tahu Goreng, Phad Thai",391 Orchard Road #05-29 Singapore 238872,238872,1.3024,103.8347,https://www.halaltag.com/place/1
Bali Thai,Suntec City,#B1-121A/121B,"Bali Thai , Chope, Restaurant, Cuisine, Indonesian, Thai, Food, View Food, Recommend food, Yusheng, Tahu Telur, Seafood, Fried Fish, Tahu Goreng, Phad Thai",3 Temasek Boulevard #B1-121A/121B (West Wing) Singapore 038983,38983,1.2951,103.8585,https://www.halaltag.com/place/1
Bali Thai,Waterway Point,#B1-13,"Bali Thai , Chope, Restaurant, Cuisine, Indonesian, Thai, Food, View Food, Recommend food, Yusheng, Tahu Telur, Seafood, Fried Fish, Tahu Goreng, Phad Thai",83 Punggol Central #B1-13 Singapore 828761,828761,1.4065,103.9021,https://www.halaltag.com/place/1
Burger King,Alexandra Retail Centre (ARC),#01-17/20,"Burger King , Fast Food, Cuisine, Western, Food, View Food, Recommend food, Burger, Fries",460 Alexandra Road #01-17/20 Singapore 119963,119963,1.2737,103.8013,https://www.halaltag.com/place/2
Burger King,AMK Hub,#01-40,"Burger King , Fast Food, Cuisine, Western, Food, View Food, Recommend food, Burger, Fries",53 Ang Mo Kio Avenue 3 #01-40 Singapore 569807,569807,1.369638889,103.8485,https://www.halaltag.com/place/2
Burger King,Arena Country Club,#01-06,"Burger King , Fast Food, Cuisine, Western, Food, View Food, Recommend food, Burger, Fries",511 Upper Jurong Road #01-06 Singapore 638366,638366,1.3294,103.6825,https://www.halaltag.com/place/2
Burger King,Bugis Village,,"Burger King , Fast Food, Cuisine, Western, Food, View Food, Recommend food, Burger, Fries",241/243 Victoria Street  Singapore 188030,188030,1.3004,103.8553,https://www.halaltag.com/place/2
Burger King,Bukit Panjang Plaza,#01-28,"Burger King , Fast Food, Cuisine, Western, Food, View Food, Recommend food, Burger, Fries",1 Jelebu Road #01-28 Singapore 677743,677743,1.3802,103.7642,https://www.halaltag.com/place/2
Burger King,Burlington Square,#01-01,"Burger King , Fast Food, Cuisine, Western, Food, View Food, Recommend food, Burger, Fries",175 Bencoolen Street #01-01 Singapore 189649,189649,1.3022,103.8526,https://www.halaltag.com/place/2
Burger King,Capitol Singapore,#B1-30/31,"Burger King , Fast Food, Cuisine, Western, Food, View Food, Recommend food, Burger, Fries",13 Stamford Road #B1-30/31 Singapore 178905,178905,1.2931,103.8513,https://www.halaltag.com/place/2
Burger King,Cathay Cineleisure Orchard,#01-07,"Burger King , Fast Food, Cuisine, Western, Food, View Food, Recommend food, Burger, Fries",8 Grange Road #01-07 Singapore 239695,239695,1.3015,103.8364,https://www.halaltag.com/place/2
Burger King,Changi Airport Terminal 1 (T1),,"Burger King , Fast Food, Cuisine, Western, Food, View Food, Recommend food, Burger, Fries",80 Airport Boulevard Level 3 Singapore 819642,819642,1.362,103.9903,https://www.halaltag.com/place/2
Burger King,Changi Airport Transit/Departure Lounge,#036-070,"Burger King , Fast Food, Cuisine, Western, Food, View Food, Recommend food, Burger, Fries","Transit Lounge Central, #036-070 Singapore 819663",819663,1.3553,103.9858,https://www.halaltag.com/place/2
Burger King,Changi Airport Transit/Departure Lounge,#03-13,"Burger King , Fast Food, Cuisine, Western, Food, View Food, Recommend food, Burger, Fries","Transit Lounge North, #03-13 Singapore 819663",819663,1.3553,103.9858,https://www.halaltag.com/place/2
Burger King,Changi Airport Transit/Departure Lounge,#021-53,"Burger King , Fast Food, Cuisine, Western, Food, View Food, Recommend food, Burger, Fries",Transit Lounge West #021-53 Singapore 819663,819663,1.3553,103.9858,https://www.halaltag.com/place/2
Burger King,City Square Mall,#02-37/38,"Burger King , Fast Food, Cuisine, Western, Food, View Food, Recommend food, Burger, Fries",180 Kitchener Road #02-37/38 Singapore 208539,208539,1.3114,103.8566,https://www.halaltag.com/place/2
Burger King,Clarke Quay Central,#01-23,"Burger King , Fast Food, Cuisine, Western, Food, View Food, Recommend food, Burger, Fries",6 Eu Tong Sen Street #01-23 - 26 Singapore 059817,59817,1.2889,103.8467,https://www.halaltag.com/place/2
Burger King,Clementi Mall,#B1-30/31,"Burger King , Fast Food, Cuisine, Western, Food, View Food, Recommend food, Burger, Fries",3155 Commonwealth Avenue West #B1-30/31 Singapore 129588,129588,1.3152,103.7645,https://www.halaltag.com/place/2
Burger King,Coastal Playgrove (Formerly Big Splash),#01-01,"Burger King , Fast Food, Cuisine, Western, Food, View Food, Recommend food, Burger, Fries",902 East Coast Parkway  #01-01 Singapore 449874,449874,1.2967,103.8995,https://www.halaltag.com/place/2
Burger King,Collyer Quay,#01-01/02,"Burger King , Fast Food, Cuisine, Western, Food, View Food, Recommend food, Burger, Fries",16 Collyer Quay #01-01/02 Singapore 049318,49318,1.2842,103.8525,https://www.halaltag.com/place/2
Burger King,Compass One,#B1-15,"Burger King , Fast Food, Cuisine, Western, Food, View Food, Recommend food, Burger, Fries",1 Sengkang Square #B1-15 Singapore 545078,545078,1.392,103.8951,https://www.halaltag.com/place/2
Burger King,East Coast (Others),#01-01,"Burger King , Fast Food, Cuisine, Western, Food, View Food, Recommend food, Burger, Fries",1018 East Coast Parkway #01-01  Singapore 449877,449877,1.3021,103.9157,https://www.halaltag.com/place/2
