Name,Latitude,Longitude,Floors,Floors Source,Stores,Dynamic Stores,Store Names,Stores Source,Opening year,Area,Area Source,Owner,Shape,Wikipedia Link
100 AM,1.2749,103.8435,5,https://www.100am.com.sg/directory/,56,52,"Amethyism; Jewellery, Watches & Eyewear; 02-14C; belle-ville pancake cafe; Cafe, Fastfood & Takeaway; 01-14b; Cafe Morettino; Cafe, Fastfood & Takeaway; 01-04; Daiso; Fashion & Accessories, Lifestyle, Stationery & Gifts; 04-16 to 04-16A; Damara Beauty; Beauty Essentials, Health & Pharmacy; 04-15; Don Don Donki; Beauty Essentials, Health & Pharmacy, Fashion & Accessories, Lifestyle, Stationery & Gifts; ; EC House; Beauty Essentials, Health & Pharmacy; 02-13A; FairPrice Finest; Supermarket; B1-01; Fitness First; Lifestyle; 04-16B; Guardian Pharmacy; Beauty Essentials, Health & Pharmacy; 02-09; H. I. S. Travel; Lifestyle; 03-16 to 03-18; HAACH; Beauty Essentials, Health & Pharmacy; 05-01; Hairmony Salon; Beauty Essentials, Health & Pharmacy; 04-11; Healspa; Beauty Essentials, Health & Pharmacy; 04-14; Itadakimasu by PARCO; Restaurant & Bar; 03-10 to 15 and, #03; KIMILDO Korean BBQ; Restaurant & Bar; 01-08; Ling Jewellery; Jewellery, Watches & Eyewear; 04-02; Lucca Vudor; Fashion & Accessories; 02-20; Ma Maison; Restaurant & Bar; 02-11; Menya Kokoro; Restaurant & Bar; 02-10; Monster Curry; Cafe, Fastfood & Takeaway; 02-17 to 02-19; Mos Burger; Cafe, Fastfood & Takeaway; 01-12; Numazu Uogashizushi; Restaurant & Bar; 03-K1; Ooh La La Boutique; Fashion & Accessories; 04-08A; OWNDAYS; Jewellery, Watches & Eyewear; 01-02; Pet Lovers Centre; Lifestyle; 04-03; Pullman Bakery; Cafe, Fastfood & Takeaway; 01-03; R&R Nail Room; Beauty Essentials, Health & Pharmacy; 04-10; Ramen Keisuke Tori King; Restaurant & Bar; 03-15; Saboten; Restaurant & Bar; 03-13; Salmon Samurai; Cafe, Fastfood & Takeaway; 01-11; SGEat Food Court; Foodcourt; 04-04 to 04-07; Shabu Shabu Gyu Jin; Restaurant & Bar; 03-10; Sin Kang TCM; Beauty Essentials, Health & Pharmacy; 04-08B; Skye Organic Hair Spa; Beauty Essentials, Health & Pharmacy; 04-09; So Good Bakery; Cafe, Fastfood & Takeaway; 01-10 &, 14A; Sothys Premium Salon; Beauty Essentials, Health & Pharmacy; 04-13; Starbucks Coffee; Cafe, Fastfood & Takeaway; 01-05; Strip & Browhaus; Beauty Essentials, Health & Pharmacy; 03-06 to 03-09; Subway; Cafe, Fastfood & Takeaway; 01-15; Superland Pre-School; Services & Telecommunications; 05-02; The Public Izakaya by Hachi; Restaurant & Bar; 01-09; The Xiang Pavilion; Restaurant & Bar; 02-14A to 02-14B; Toast Box; Cafe, Fastfood & Takeaway; 01-13; TOP4 Noodle Master; Cafe, Fastfood & Takeaway; 01-06; Ura Hototogisu; Restaurant & Bar; 01-01; Watsons; Beauty Essentials, Health & Pharmacy; 02-12; Xin Hua TCM Therapy; Beauty Essentials, Health & Pharmacy; 02-13; Xin Wah Kee Kitchen; Restaurant & Bar; 02-15 to 02-28; Ya Kun Kaya Toast; Cafe, Fastfood & Takeaway; 02-16 &, 27A; Yakiniku Heijoen; Restaurant & Bar; 03-11; YAYOI; Restaurant & Bar; 03-12",https://singmalls.app/en/malls/100-am/directory,2012,121000,https://ir.amaraholdings.com/static-files/d4e7bf36-d292-4480-8f44-6a052f35df3d,,,
111 Somerset,1.3002,103.8373,,,,0.3333333333,,https://singmalls.app/en/malls/triple-one-somerset/directory,,60000,,,,
313@Somerset,1.3009,103.8384,9,https://www.313somerset.com.sg/store-directory/#/,147,134,"% Arabica; Cafe; 01-14 to 01-15; 1855 The Bottle Shop; Lifestyle; B2-44; 7-Eleven; many; 01-35 to 01-36; Éclat By Oui; Watches & Jewellery; B1-38A; ALDO; Shoes & Bags; 02-22; Awfully Chocolate; Food & Restaurant, Cafe; 02-50; Bàn; Food & Restaurant, Takeaway; B3-42; Bao Today; Food & Restaurant, Cafe; 01-25B; Ben & Jerry's; Food & Restaurant, Cafe; 01-25 to 01-25A; BILLABONG; Fashion Apparel; 04-29; Boost Juice Bars; Food & Restaurant, Takeaway; B3-52; BreadTalk®; Food & Restaurant, Takeaway; B2-33; Café de Paris; Food & Restaurant, Cafe; B1-37; Candy Empire; many; B2-20; Challenger; Lifestyle; 04-01 to 04-02; CHARLES & KEITH; Shoes & Bags; 02-46 to 02-49; CHICHA San Chen; Food Specialties, Cafe; 03-41; Chir Chir Fusion Chicken Factory; Food & Restaurant, Restaurant; B3-04 to B3-06; Chocolate Origin; Food & Restaurant, Takeaway; B3-10A; ConnectIT by Jade Gift Shop; Lifestyle; 04-14; Cotton On; Fashion Apparel; B1-06 to B1-16; Deen Exchange; General Services; 01-31; Deen Express; General Services; B3-18; Dosirak; Food & Restaurant, Cafe; 01-44; Dr. Martens; many; 03-09 to 10; Duke Bakery; Food & Restaurant, Takeaway; B3-23; Eastern Watch; Watches & Jewellery; 01-23 to 01-24; ECCO; Shoes & Bags; 01-22; Elements Wellness; Health & Beauty Services; B2-50 to B2-51; Encik Tan; Food & Restaurant, Restaurant; B3-39 to B3-40; FANCL; Beauty & Wellness; 01-19; FashionTV Cosmetics; Beauty & Wellness; B1-20 to B1-22; Fat Cat Arcade; Entertainment; 05-05; FOND; Fashion Apparel; 03-15; Food Republic; Food & Restaurant, Food Court; 05-01 to 05-03; FOREVER 21; Fashion Apparel; 01-10 to 01-13; Fossil; Shoes & Bags; 02-07; Garrett Popcorn Shops®; Food Specialties; 01-38; GNC; Beauty & Wellness; B3-12; Go Noodle House; Food & Restaurant, Restaurant; B3-37 to B3-38; Goal@313; Lifestyle; 04-14 to 04-17; Gong Cha; Food & Restaurant, Takeaway; 01-37; Guardian Health & Beauty; Beauty & Wellness; B3-13 to B3-15; HAAKON Superfoods and Juice; Food & Restaurant, Cafe; B2-14; Hai Di Lao Hot Pot; many; 04-23 to 04-24; HaveFun Family KTV; Entertainment; 04-25; hotwind; many; 03-31 to 03-40; Huawei Service Experience Centre; Lifestyle; B2-12 to 13; Ichikokudo Hokkaido Ramen; Food & Restaurant, Restaurant; B3-35 to B3-36; iRun; many; 02-101; JiBiru Craft Beer Bar; Food & Restaurant, Restaurant; 01-26; K Bowling Club; Entertainment; 03-27 to 03-30; Kenko Reflexology & Fish Spa; Health & Beauty Services; 04-22; Kin Kao Young; Food & Restaurant, Restaurant; B2-01; KIRAME; Health & Beauty Services; B3-07; KOI Express; Food & Restaurant, Takeaway; B3-51; KORYO MART; Food Specialties; B3-16; L.E. Ball Park and New Era; many; 04-07 to 04-09; L.E. Underground; Shoes & Bags; 03-22; L.E. WAY; many; 04-31; LACOSTE; Fashion Apparel; 02-43 to 02-45; Lalune Croissant; Food & Restaurant, Takeaway; B3-48A; LAMY; Lifestyle; B2-52A; Limited Edt Outlet; Shoes & Bags; 03-22; Limited Edt Vault; many; 04-13 to 04-14; Limited Edt Vault; many; 04-30; Lixin The Fishball Folks; Food & Restaurant, Takeaway; 01-01; Love, Bonito; Fashion Apparel; 02-16 to 02-21; Make Up Store; many; 04-10; Mango; Fashion Apparel; 02-23 to 02-24; Manhattan Portage; many; 04-12; Marché Mövenpick; Food & Restaurant, Restaurant; 01-40; Masizzim; Food & Restaurant, Restaurant; B3-02; Mee Mee Eyecare; many; 04-03 to 04-04; Milksha; Food & Restaurant, Takeaway; B3-50 to B3-53; MissFit; many; 03-23 to 03-25; Muji; Lifestyle; B2-38 to 41 & 47 to, 49; Nam Dae Mun; Food & Restaurant, Takeaway; B3-54; Nipong Naepong; Food & Restaurant, Restaurant; B3-03; NY Night Market; Food & Restaurant, Restaurant; 01-29; O bag; many; B2-46; O'ma Spoon; many; 04-32; Old Chang Kee; Food & Restaurant, Takeaway; B3-24; OWNDAYS; Optical; B2-42 to B2-43; PizzaExpress; many; 01-16 to 01-17; PLAYDRESS; Fashion Apparel; 03-16 to 03-21; Pomelo; Fashion Apparel; B1-23 to B1-34; Popeyes Louisiana Kitchen; Food & Restaurant, Fast Food; B-2; Potato Corner; Food & Restaurant, Takeaway; B3-45; Privé; Food & Restaurant, Restaurant; 01-28; PULSE Foot Reflexology; Health & Beauty Services; B3-09; QB House Premium; Health & Beauty Services; B3-17; Ray-Ban; Optical; 01-09; Recoil; many; 04-04A; Regina Hair Removal Specialist; Health & Beauty Services; B2-04 to B2-05; Riverside Indonesian BBQ; Food & Restaurant, Takeaway; B3-44; Samsung Experience Store; Lifestyle; B2-24 to 26; SF FRUITS AND JUICES; Food & Restaurant, Takeaway; B3-43A; Shihlin Taiwan Street Snacks; Food & Restaurant, Takeaway; B3-50A; Smiggle; Lifestyle; 01-30; SONY; Lifestyle; 02-28 to 02-37; Sora Boru; Food & Restaurant, Restaurant; B3-19 to B3-20; Spectacle Hut; Optical; 02-42; STARBUCKS®; Food & Restaurant, Cafe; 02-38 to 02-39; Subway; Food & Restaurant, Fast Food; B3-01; Sunglass Hut; Optical; 02-42; Sushi Express; Food & Restaurant, Restaurant; B3-28 to B3-29; SV Style House; Health & Beauty Services; B1-35 to B1-36; Swarovski; Watches & Jewellery; 01-08; T2; Food Specialties; 01-20; Tan Yu; Food & Restaurant, Restaurant; B3-30 to B3-32; TEMT; Fashion Apparel; B2-34 to B2-37; Ten Ren's Tea; Food & Restaurant, Food Specialties; 01-07; THE DENIM STORE; many; 03-11 to 03-13; The Editor's Market; many; 03-01 to 03-08; The Green Party; Lifestyle; B3-21 to B3-22; The Nailist City; Health & Beauty Services; B2-06; Timberland; Shoes & Bags; 02-10; Toast Box; Food & Restaurant, Cafe; B2-31; Tok-Tok; Food & Restaurant, Restaurant; B3-10; Triumph; Fashion Apparel; 02-14 to 02-15; Twelve Cupcakes; Food & Restaurant, Takeaway; B3-11; Typo; Lifestyle; 01-18; umisushi; Food & Restaurant, Takeaway; B3-41; UNBOXING; Lifestyle; B2-29; VS Salon; Health & Beauty Services; 04-21; WELL BRED; Fashion Apparel; 04-18 to 04-19; Well Bred Express; Fashion Apparel; 04-18 to 04-19; Wheat Baumkuchen; Food & Restaurant, Takeaway; B3-46; Wow Tako; Food & Restaurant, Takeaway; B3-47; Ya Kun Kaya Toast; Food & Restaurant, Cafe; 01-32 to 01-34; YAYOI Japanese Restaurant; Food & Restaurant, Restaurant; B3-33 to B3-34; Yolé; Food & Restaurant, Takeaway; B3-55; ZARA; Fashion Apparel; B1-01 to 02-06",https://singmalls.app/en/malls/313-somerset/directory,2009,288277,https://www.edgeprop.sg/property-news/313somerset-sold-upcoming-lendlease-global-commercial-reit-just-over-1-bil,Lendlease,,
321 Clementi,1.3120,103.7650,7,https://321clementi.com.sg/mobile/stores.aspx,24,,,https://321clementi.com.sg/mobile/stores.aspx,2011,191000,https://corporate.sph.com.sg/system/assets/644/BabhFurw_Appendix%20A%20-%20The%20Clementi%20Mall%20-%20Fact%20Sheet(Final).pdf,Eng Wah,,
888 Plaza,1.4382,103.7955,,,,,,,,,,HDB,,
Admiralty Place,1.4401,103.8015,,,,,,,,,,HDB,,
Alexandra Central,1.2874,103.8052,,,,,,,,,,,,
Alexandra Retail Centre,1.2739,103.8015,3,https://www.arc4u.com.sg/shop-directory/,68,,,https://www.arc4u.com.sg/tenants-listing/,1985,89652,https://www.mapletree.com.sg/All-Properties/MCT/Singapore/ARC.aspx,Mapletree,,https://en.wikipedia.org//wiki/Alexandra_Retail_Centre
AMK Hub,1.3696,103.8485,6,https://www.amkhub.com.sg/store-directory/,215,196,"1A Heritage; Food & Beverage; B2-34; A&W; Food & Beverage; B1-51 to B1-51A; Ajisen Ramen Dining; Food & Beverage; 02-19 to 02-21; Akimitsu; Food & Beverage; B1-22; Asian Rev; Fashion & Accessories; B1-73; AsterSpring; Beauty & Wellness; B1-23; Aureus Academy; Education; 03-03; BBQ Express; Food & Beverage; B2-22; Beauty Language; Beauty & Wellness; 02-48; BEGA; Fashion & Accessories; 01-25 to 26; Bengawan Solo; Food & Beverage; B2-26; BlackBall Express; Food & Beverage; 01-17 to 01-18; Boost; Food & Beverage; B2-55; Bossini; Fashion & Accessories; 01-21 to 01-22; Burger King; Food & Beverage; 01-40; Cathay Cineplexes; Leisure & Entertainment; 04-01; Challenger; Electronics & Technology; 02-09 to 02-14; Chateraise; Food & Beverage; 01-06; Cheers; Sundry & Services; 01-37; CHICHA San Chen; Food & Beverage; B1-65A to B1-65B; ChocoExpress; Food & Beverage; 01-09 to 01-10; Chrysalis Spa (Imago); Beauty & Wellness; 03-26; City Chain; Jewellery, Watches & Optical; 01-08; Cotton On; Fashion & Accessories; B1-07; Couple Lab; Jewellery, Watches & Optical; B1-76; Cristofori; Education; 03-21; D&C; Shoes & Bags; B1-13; Data-Flex Technology; Sundry & Services; B1-77; Daun Pandan Rice Dumpling; Food & Beverage; B2-33; DC Vision Design; Home & Furnishings; B1-58; De Fresco; Food & Beverage; B2-21; De Silver; Fashion & Accessories; B1-72; Denizen; Fashion & Accessories; B1-15; Discount Loft; Fashion & Accessories; 02-51; Dough Culture; Food & Beverage; B2-24; Dreams Collage; Jewellery, Watches & Optical; 02-22; Dunkin' Donuts; Food & Beverage; 01-14 to 01-16; Eighteen Chefs; Food & Beverage; 04-03; Eng's Wantan Noodle; Food & Beverage; B2-49; Eu Yan Sang; Beauty & Wellness; B2-03 to 04; FairPrice Xtra; Hypermarket, Supermarket & Specialty Mart; B2-40; Famous Amos; Food & Beverage; 01-32A; Fengshui D.I.Y.; Services; 02-42; Fight Zone; Education; 03-14; Fish & Co.; Food & Beverage; 02-02 AMK, Hub; Fitness First; Beauty & Wellness; B1-36; Foto Express; Services; B2-15 AMK, Hub; Four Leaves; Food & Beverage; B2-38; Fragrance Bak Kwa; Food & Beverage; B2-20; Fruit Paradise; Food & Beverage; 02-18; FWAH; Books, Gifts & Hobbies; 02-25; G2000; Fashion & Accessories; B1-08 to B1-09; Gerill Bab; Food & Beverage; B2-19; Giordano; Fashion & Accessories; B1-59 to B1-61; Glimpse; Jewellery, Watches & Optical; B1-53; GNC Live Well; Beauty & Wellness; B2-11; Goldheart; Jewellery, Watches & Optical; B1-12; Gosh! (Seafood Hunter); Food & Beverage; B2-48; Guardian; Beauty & Wellness; B2-01 to B2-02; H2 Hub; Jewellery, Watches & Optical; B2-12; Hair Inn; Beauty & Wellness; B1-37 to B1-38; Hako; Books, Gifts & Hobbies; 02-55 to 02-56; Han Language Centre; Education; 03-24; Happy Walker; Shoes & Bags; 02-28; Heavenly Wang; Food & Beverage; 02-58; Herbal Tea; Food & Beverage; B2-43; HERITAGE HUB; Sporting Goods & Apparel; B1-30; Heurika; Education; 03-25; Ho Kee Pau; Food & Beverage; 02-59; HockHua Tonic; Beauty & Wellness; B2-39; Holland & Barrett; Beauty & Wellness; B1-71; Hong Kong Sheng Kee Dessert; Food & Beverage; B2-36; Hush Puppies (Redina Trading); Shoes & Bags; 01-27 to 01-28; i-Outlet; Sporting Goods & Apparel; 01-03; I'm Kim Korean BBQ; Food & Beverage; 04-04; Ichiban Sushi; Food & Beverage; 02-01; Indulge Skin & Body Lab; Beauty & Wellness; 02-06 to 02-08; Japan IPL Express; Beauty & Wellness; 02-16; JEAN Accessories; Fashion & Accessories; 02-32; Jean Yip Hub; Beauty & Wellness; B1-35; Jiak by Jinfeng; Food & Beverage; B2-47; Jollibean; Food & Beverage; B2-27; Just Dough; Food & Beverage; B2-23; K Shoe and Bags; Sundry & Services; B2-13; Kaki; Food & Beverage; B1-51B to B1-51C; Kent Ridge Education Hub; Education; 03-08 to 03-09; Kicks Taekwondo; Education; 03-14A; KOI; Food & Beverage; 01-44; Kuriya Japanese Market; Food & Beverage; B2-52; Kurumiz; Electronics & Technology; 02-33; La Vida (Lavida Nailz Haus); Beauty & Wellness; B1-24; Ladyfinger; Beauty & Wellness; 03-10 to 03-11; Levi's; Fashion & Accessories; B1-17 to B1-18; LiHO; Food & Beverage; 02-59; Linen Gallery; Home & Furnishings; 02-38 to 02-39; Literacy Alive!; Education; 03-07; London Weight Management; Beauty & Wellness; 03-01; Love.U; Fashion & Accessories; 01-24; Lovisa; Fashion & Accessories; B1-14; M1; Telecommunication; B1-31; Maki-San; Food & Beverage; 02-27A; Malaysia Boleh!; Food & Beverage; B2-41 to B2-42; MFC Jewellery; Jewellery, Watches & Optical; B1-79; Miniso; Lifestyle; 01-29 to 01-31; Mobile Fashion; Electronics & Technology; B1-69; Moley Apparels; Fashion & Accessories; 02-43; MoMo Accessories; Fashion & Accessories; B1-75; Moo Moo Yogurt; Food & Beverage; B2-17; MOS Burger; Food & Beverage; 01-33; MOSS; Fashion & Accessories; 01-07; Mr Bean; Food & Beverage; 01-19 to 01-20; Musang King; Food & Beverage; B2-25; Muzart (Muz Art); Education; 03-15 to 03-16; Nail Palace; Beauty & Wellness; B1-64; Nailz Gallery; Beauty & Wellness; 02-24; Nature's Farm; Beauty & Wellness; B1-24; NTUC Foodfare; Food & Beverage; 03-12; OGAWA; Beauty & Wellness; B1-52; Old Chang Kee; Food & Beverage; 01-32; Optics Connection; Jewellery, Watches & Optical; 01-04; Ordinary Burger; Food & Beverage; 01-43; OSIM; Beauty & Wellness; B2-05 to B2-06; Owndays; Jewellery, Watches & Optical; B1-05 to B1-06; Pancake King; Food & Beverage; B2-54; Pepper Lunch; Food & Beverage; 01-34; Pezzo; Food & Beverage; B2-38; Pierre Cardin; Fashion & Accessories; 02-44 to 02-45; PLAYe; Books, Gifts & Hobbies; 02-30 to 02-31; Poh Kim; Leisure & Entertainment; 02-46; Polar Puffs & Cakes; Food & Beverage; B2-08; Prata Raya; Food & Beverage; 01-38 to 01-39; Premier Dead Sea; Beauty & Wellness; B1-67; Prima Deli; Food & Beverage; B2-56; Proofer Boulangerie; Food & Beverage; B2-44; Punk Star; Fashion & Accessories; 02-23; QB House; Beauty & Wellness; B1-45; Qi Ji; Food & Beverage; B2-51; Red 2; Fashion & Accessories; 01-05; Redbean; Sundry & Services; B1-73; Ritz Apple Strudel; Food & Beverage; B2-30; Salon #1; Beauty & Wellness; 02-03 to 02-04; School Plus; Education; 03-04; SF; Food & Beverage; B2-35; Shan Cheng (Express); Food & Beverage; B2-45; Shinka; Beauty & Wellness; 02-27; Shinlin Snacks; Food & Beverage; B2-30; Simply Mondo; Shoes & Bags; 02-52; SingTel Shop; Telecommunication; B1-54 to B1-57; SK Jewellery; Jewellery, Watches & Optical; B1-11; SKP; Books, Gifts & Hobbies; 02-53 to 02-54; Song-Cho; Home & Furnishings; 02-35 to 02-36; Sorella; Fashion & Accessories; 02-34; Spectacle Hut; Jewellery, Watches & Optical; 01-23; Stalford Learning Centre; Education; 03-05 to 03-06; Starbucks; Food & Beverage; B1-65; Subway; Food & Beverage; 01-35; Swensen's; Food & Beverage; B1-25 to B1-26; TeleStation GO Wireless; Electronics & Technology, Telecommunication; B1-27 to B1-28; Teo Heng KTV Studio; Leisure & Entertainment; 04-05; Thai Express; Food & Beverage; 02-26; The Ballet School; Education; 03-20; The Body Shop; Beauty & Wellness; B1-02; The Coffee Bean & Tea Leaf; Food & Beverage; B1-21A; The Crane Lab; Leisure & Entertainment; B1-29; The Flip Flop Shop; Shoes & Bags; 02-47; The Laundry Club; Sundry & Services; B2-14; The Little Skool-House; Education; 03-22; The Pine Garden; Food & Beverage; 01-11 to 01-13; The Soup Spoon; Food & Beverage; B1-65C to B1-65D; The Underground (The Box); Fashion & Accessories; B1-50; The Wallet Shop; Shoes & Bags; 02-49; THEFACESHOP; Beauty & Wellness; B1-19; TIMEZONE; Leisure & Entertainment; 04-06; Toast Box; Food & Beverage; 01-17; Top Secret Hair Studio; Beauty & Wellness; B1-74; TORI-Q; Food & Beverage; B2-09; Triumph; Fashion & Accessories; B1-03 to B1-04; Twelve Cupcakes; Food & Beverage; B2-27; Typo; Books, Gifts & Hobbies; B1-20 to B1-21; U@GX; Electronics & Technology; 02-50; umisushi; Food & Beverage; B2-37; Unity Pharmacy; Beauty & Wellness; B2-40; Venus Tears; Fashion & Accessories; B1-70; Vivian & Sean; Shoes & Bags; B1-62; Wacoal; Fashion & Accessories; B1-45 to B1-46; Wan Yang Foot Reflexology; Beauty & Wellness; B1-42 to B1-44; Watsons; Beauty & Wellness; B1-39 to B1-41; Wow Tako; Food & Beverage; B2-29; Xin Wang Hong Kong Café; Food & Beverage; 02-26; Xorex Press; Sundry & Services; 02-17; Xpressflower; Sundry & Services; B2-16; Young Hearts; Fashion & Accessories; 02-40 to 02-41; Yu Kee Specialities; Food & Beverage; B2-46; Yummi Bites; Food & Beverage; B2-31; Yun Nam Hair Care; Beauty & Wellness; 03-27; ZTP; Beauty & Wellness; B2-07",https://singmalls.app/en/malls/amk-hub/directory,2007,320000,https://www.mercatus.com.sg/en/our-portfolio/amk-hub/,M Malls,,https://en.wikipedia.org//wiki/AMK_Hub
Anchorpoint,1.2888,103.8051,2,https://singmalls.app/en/malls/anchor-point/directory,53,52,"7-Eleven; Services; 01-34; Al Ameen Exchange; Bank & Money Changer; B1-12; All The Batter; Food & Restaurants; B1-46; Bengawan Solo; Food & Restaurants; B1-45; Billabong Outlet; Fashion Wear & Accessories; B1-14 to B1-15; Catchapon; Amusement / Entertainment; B1-32; CHARLES & KEITH Outlet; Leather Goods, Bags & Shoes; 01-30 to 01-31; Cotton On Kids; Children's Wear, Toys & Maternity; 01-24 to 01-27; Cotton On Outlet; Fashion Wear & Accessories; 01-01 to 01-02; D&C; Leather Goods, Bags & Shoes; 01-21; De Sand Salon; Hair & Beauty; B1-01 to B1-02; Duke Bakery; Food & Restaurants; B1-10; Eastchamp Optics; Optical; B1-25; EC House; Hair & Beauty; B1-18; Fish Mart SAKURAYA; Food & Restaurants; 01-32 to 01-33; FISHOP; Food & Restaurants; B1-58; Flora Springs & Party; Gifts; B1-11; Four Leaves; Food & Restaurants; B1-57; Global Art; Schools & Offices; B1-37; Jack's Place; Food & Restaurants; 01-09 to 01-10; Japan Home; Furniture, Furnishings & Household; B1-30 to B1-31; Joop; Fashion Wear & Accessories; 01-28; KFC; Food & Restaurants; 01-15 to 01-16; Kopi Hive; Food & Restaurants; B1-44,48 to B1-51; Koufu; Food & Restaurants; B1-20 to B1-21; Kumon Learning Centre; Schools & Offices; B1-38; La Trendz; Fashion Wear & Accessories; 01-20; Le Showplace; Furniture, Furnishings & Household; B1-33; LiHO TEA; Food & Restaurants; 1‬-47; Little Dance Academy; Schools & Offices; B1-40; Ma Maison; Food & Restaurants; 01-12; Melvados; Food & Restaurants; B1-13; Mister Minit; Services; B1-19; MR D.I.Y.; Arts & Crafts; B1-03 to B1-07; NB Natural Beauty; Hair & Beauty; B1-16; NK Hairworks; Hair & Beauty; B1-22; Oasis Wet Cleaning; Services; B1-43; Pedro Outlet; Leather Goods, Bags & Shoes; 01-29; Pet Lovers Centre; Services; B1-26 to B1-27; Raffles Medical; Pharmacy & Healthcare; B1-41; Refash; Fashion Wear & Accessories; 01-36; Skechers Outlet; Sports & Leisure; 01-17 to 01-18; Slumberland; Furniture, Furnishings & Household; B1-34; Starbucks; Food & Restaurants; 01-05 to 01-06; Subway; Food & Restaurants; 01-11; The Connoisseur Concerto (tcc); Food & Restaurants; 01-07 to 01-08; Uncle Leong Seafood; Food & Restaurants; 368 Alexandra, Rd; Valu$; Furniture, Furnishings & Household; B1-28 to B1-29; VIP Boutique; Hair & Beauty; B1-24; Watsons; Pharmacy & Healthcare; B1-23; Wine Connection; Food & Restaurants; B1-08; Xin Wang Hong Kong Café; Food & Restaurants; 01-13 to 01-14",https://singmalls.app/en/malls/anchor-point/directory,1997,70988,https://www.reitas.sg/wp-content/uploads/2019/04/FCT_Factsheet_Dec-2018.pdf,,,
